i,j,x,sampno
27,4,1,1
70,4,1,1
77,4,1,1
101,4,1,1
160,4,1,1
180,4,1,1
184,4,1,1
185,4,1,1
209,4,1,1
216,4,1,1
1,5,1,1
12,5,1,1
46,5,1,1
62,5,1,1
70,5,1,1
138,5,1,1
146,5,1,1
160,5,1,1
177,5,1,1
181,5,1,1
196,5,1,1
218,5,1,1
249,5,1,1
3,6,1,1
42,6,1,1
53,6,1,1
60,6,1,1
75,6,1,1
87,6,1,1
91,6,1,1
116,6,1,1
131,6,1,1
135,6,1,1
138,6,1,1
146,6,1,1
149,6,1,1
153,6,1,1
177,6,1,1
179,6,1,1
202,6,1,1
216,6,1,1
217,6,1,1
218,6,1,1
231,6,1,1
5,7,1,1
9,7,1,1
25,7,1,1
27,7,1,1
31,7,1,1
43,7,1,1
45,7,1,1
59,7,1,1
61,7,1,1
75,7,1,1
86,7,1,1
91,7,1,1
100,7,1,1
102,7,1,1
114,7,1,1
116,7,1,1
130,7,1,1
142,7,1,1
145,7,1,1
149,7,1,1
160,7,1,1
176,7,1,1
177,7,1,1
181,7,1,1
183,7,1,1
203,7,1,1
216,7,1,1
220,7,1,1
226,7,1,1
249,7,1,1
5,8,1,1
9,8,1,1
12,8,1,1
17,8,1,1
27,8,1,1
34,8,1,1
42,8,1,1
43,8,1,1
45,8,1,1
46,8,1,1
51,8,1,1
60,8,1,1
61,8,1,1
62,8,1,1
83,8,1,1
87,8,1,1
88,8,1,1
96,8,1,1
104,8,1,1
108,8,1,1
114,8,1,1
120,8,1,1
137,8,1,1
138,8,1,1
142,8,1,1
144,8,1,1
154,8,1,1
155,8,1,1
191,8,1,1
192,8,1,1
196,8,1,1
204,8,1,1
208,8,1,1
215,8,1,1
221,8,1,1
226,8,1,1
227,8,1,1
230,8,1,1
235,8,1,1
1,9,1,1
6,9,1,1
7,9,1,1
12,9,1,1
15,9,1,1
16,9,1,1
17,9,1,1
27,9,1,1
33,9,1,1
36,9,1,1
39,9,1,1
43,9,1,1
46,9,1,1
47,9,1,1
48,9,1,1
53,9,1,1
61,9,1,1
64,9,1,1
65,9,1,1
68,9,1,1
71,9,1,1
75,9,1,1
83,9,1,1
86,9,1,1
89,9,1,1
91,9,1,1
93,9,1,1
97,9,1,1
100,9,1,1
102,9,1,1
103,9,1,1
108,9,1,1
116,9,1,1
130,9,1,1
139,9,1,1
140,9,1,1
141,9,1,1
146,9,1,1
151,9,1,1
158,9,1,1
164,9,1,1
169,9,1,1
179,9,1,1
181,9,1,1
185,9,1,1
192,9,1,1
200,9,1,1
201,9,1,1
204,9,1,1
208,9,1,1
211,9,1,1
213,9,1,1
215,9,1,1
216,9,1,1
227,9,1,1
230,9,1,1
234,9,1,1
235,9,1,1
245,9,1,1
2,10,1,1
3,10,1,1
7,10,1,1
10,10,1,1
19,10,1,1
20,10,1,1
34,10,1,1
37,10,1,1
46,10,1,1
48,10,1,1
57,10,1,1
59,10,1,1
60,10,1,1
62,10,1,1
63,10,1,1
69,10,1,1
76,10,1,1
77,10,1,1
86,10,1,1
95,10,1,1
96,10,1,1
110,10,1,1
118,10,1,1
119,10,1,1
120,10,1,1
121,10,1,1
127,10,1,1
134,10,1,1
143,10,1,1
144,10,1,1
145,10,1,1
147,10,1,1
156,10,1,1
166,10,1,1
169,10,1,1
173,10,1,1
175,10,1,1
182,10,1,1
201,10,1,1
202,10,1,1
205,10,1,1
207,10,1,1
219,10,1,1
220,10,1,1
227,10,1,1
248,10,1,1
2,11,1,1
16,11,1,1
17,11,1,1
23,11,1,1
33,11,1,1
34,11,1,1
36,11,1,1
43,11,1,1
48,11,1,1
51,11,1,1
54,11,1,1
59,11,1,1
66,11,1,1
67,11,1,1
70,11,1,1
75,11,1,1
86,11,1,1
87,11,1,1
96,11,1,1
100,11,1,1
103,11,1,1
110,11,1,1
117,11,1,1
118,11,1,1
119,11,1,1
122,11,1,1
126,11,1,1
139,11,1,1
143,11,1,1
146,11,1,1
154,11,1,1
161,11,1,1
164,11,1,1
185,11,1,1
186,11,1,1
198,11,1,1
206,11,1,1
220,11,1,1
224,11,1,1
232,11,1,1
239,11,1,1
240,11,1,1
4,12,1,1
10,12,1,1
17,12,1,1
23,12,1,1
26,12,1,1
34,12,1,1
48,12,1,1
49,12,1,1
54,12,1,1
57,12,1,1
62,12,1,1
77,12,1,1
84,12,1,1
98,12,1,1
99,12,1,1
101,12,1,1
107,12,1,1
113,12,1,1
121,12,1,1
124,12,1,1
125,12,1,1
131,12,1,1
133,12,1,1
134,12,1,1
137,12,1,1
143,12,1,1
145,12,1,1
147,12,1,1
154,12,1,1
157,12,1,1
165,12,1,1
171,12,1,1
179,12,1,1
184,12,1,1
193,12,1,1
228,12,1,1
233,12,1,1
234,12,1,1
238,12,1,1
240,12,1,1
2,13,1,1
16,13,1,1
26,13,1,1
32,13,1,1
58,13,1,1
59,13,1,1
65,13,1,1
74,13,1,1
88,13,1,1
96,13,1,1
100,13,1,1
111,13,1,1
113,13,1,1
115,13,1,1
121,13,1,1
133,13,1,1
139,13,1,1
146,13,1,1
149,13,1,1
155,13,1,1
162,13,1,1
165,13,1,1
173,13,1,1
180,13,1,1
183,13,1,1
206,13,1,1
214,13,1,1
223,13,1,1
224,13,1,1
225,13,1,1
238,13,1,1
240,13,1,1
247,13,1,1
27,4,1,501
42,4,1,501
46,4,1,501
70,4,1,501
75,4,1,501
77,4,1,501
87,4,1,501
101,4,1,501
105,4,1,501
128,4,1,501
142,4,1,501
146,4,1,501
155,4,1,501
160,4,1,501
177,4,1,501
180,4,1,501
184,4,1,501
185,4,1,501
191,4,1,501
209,4,1,501
216,4,1,501
218,4,1,501
226,4,1,501
3,5,1,501
7,5,1,501
70,5,1,501
105,5,1,501
116,5,1,501
131,5,1,501
155,5,1,501
180,5,1,501
196,5,1,501
2,6,1,501
3,6,1,501
7,6,1,501
12,6,1,501
38,6,1,501
43,6,1,501
48,6,1,501
65,6,1,501
78,6,1,501
83,6,1,501
91,6,1,501
101,6,1,501
105,6,1,501
130,6,1,501
131,6,1,501
142,6,1,501
180,6,1,501
184,6,1,501
185,6,1,501
203,6,1,501
209,6,1,501
218,6,1,501
1,7,1,501
2,7,1,501
3,7,1,501
5,7,1,501
7,7,1,501
8,7,1,501
9,7,1,501
12,7,1,501
15,7,1,501
16,7,1,501
18,7,1,501
25,7,1,501
27,7,1,501
31,7,1,501
34,7,1,501
36,7,1,501
38,7,1,501
42,7,1,501
43,7,1,501
45,7,1,501
46,7,1,501
48,7,1,501
51,7,1,501
53,7,1,501
59,7,1,501
60,7,1,501
61,7,1,501
62,7,1,501
65,7,1,501
66,7,1,501
67,7,1,501
70,7,1,501
71,7,1,501
75,7,1,501
76,7,1,501
77,7,1,501
78,7,1,501
83,7,1,501
86,7,1,501
87,7,1,501
91,7,1,501
96,7,1,501
97,7,1,501
100,7,1,501
101,7,1,501
102,7,1,501
103,7,1,501
105,7,1,501
107,7,1,501
108,7,1,501
111,7,1,501
114,7,1,501
116,7,1,501
117,7,1,501
118,7,1,501
128,7,1,501
130,7,1,501
131,7,1,501
135,7,1,501
137,7,1,501
138,7,1,501
139,7,1,501
142,7,1,501
143,7,1,501
144,7,1,501
145,7,1,501
146,7,1,501
149,7,1,501
151,7,1,501
153,7,1,501
154,7,1,501
155,7,1,501
157,7,1,501
160,7,1,501
162,7,1,501
164,7,1,501
166,7,1,501
173,7,1,501
176,7,1,501
177,7,1,501
179,7,1,501
180,7,1,501
181,7,1,501
183,7,1,501
184,7,1,501
185,7,1,501
191,7,1,501
196,7,1,501
200,7,1,501
202,7,1,501
203,7,1,501
208,7,1,501
216,7,1,501
217,7,1,501
218,7,1,501
220,7,1,501
226,7,1,501
230,7,1,501
231,7,1,501
234,7,1,501
235,7,1,501
246,7,1,501
249,7,1,501
1,8,1,501
2,8,1,501
3,8,1,501
7,8,1,501
8,8,1,501
9,8,1,501
10,8,1,501
11,8,1,501
12,8,1,501
14,8,1,501
15,8,1,501
16,8,1,501
24,8,1,501
25,8,1,501
27,8,1,501
29,8,1,501
31,8,1,501
33,8,1,501
34,8,1,501
36,8,1,501
38,8,1,501
41,8,1,501
42,8,1,501
43,8,1,501
45,8,1,501
46,8,1,501
48,8,1,501
51,8,1,501
53,8,1,501
59,8,1,501
60,8,1,501
61,8,1,501
62,8,1,501
65,8,1,501
66,8,1,501
67,8,1,501
70,8,1,501
71,8,1,501
74,8,1,501
75,8,1,501
76,8,1,501
77,8,1,501
78,8,1,501
83,8,1,501
85,8,1,501
86,8,1,501
87,8,1,501
88,8,1,501
89,8,1,501
91,8,1,501
92,8,1,501
93,8,1,501
97,8,1,501
100,8,1,501
101,8,1,501
102,8,1,501
103,8,1,501
104,8,1,501
106,8,1,501
108,8,1,501
111,8,1,501
112,8,1,501
116,8,1,501
117,8,1,501
118,8,1,501
120,8,1,501
121,8,1,501
128,8,1,501
129,8,1,501
130,8,1,501
135,8,1,501
137,8,1,501
138,8,1,501
139,8,1,501
142,8,1,501
143,8,1,501
144,8,1,501
145,8,1,501
146,8,1,501
149,8,1,501
150,8,1,501
154,8,1,501
156,8,1,501
157,8,1,501
160,8,1,501
164,8,1,501
166,8,1,501
172,8,1,501
173,8,1,501
176,8,1,501
179,8,1,501
181,8,1,501
183,8,1,501
184,8,1,501
185,8,1,501
190,8,1,501
191,8,1,501
196,8,1,501
200,8,1,501
202,8,1,501
203,8,1,501
204,8,1,501
206,8,1,501
208,8,1,501
215,8,1,501
217,8,1,501
218,8,1,501
219,8,1,501
220,8,1,501
221,8,1,501
226,8,1,501
227,8,1,501
230,8,1,501
231,8,1,501
235,8,1,501
245,8,1,501
246,8,1,501
248,8,1,501
249,8,1,501
1,9,1,501
2,9,1,501
5,9,1,501
11,9,1,501
12,9,1,501
15,9,1,501
19,9,1,501
25,9,1,501
26,9,1,501
27,9,1,501
29,9,1,501
34,9,1,501
37,9,1,501
38,9,1,501
42,9,1,501
43,9,1,501
44,9,1,501
45,9,1,501
47,9,1,501
49,9,1,501
53,9,1,501
62,9,1,501
63,9,1,501
66,9,1,501
70,9,1,501
71,9,1,501
74,9,1,501
77,9,1,501
78,9,1,501
80,9,1,501
83,9,1,501
88,9,1,501
89,9,1,501
93,9,1,501
96,9,1,501
97,9,1,501
101,9,1,501
105,9,1,501
106,9,1,501
107,9,1,501
112,9,1,501
118,9,1,501
120,9,1,501
121,9,1,501
129,9,1,501
131,9,1,501
135,9,1,501
136,9,1,501
137,9,1,501
138,9,1,501
139,9,1,501
143,9,1,501
146,9,1,501
149,9,1,501
150,9,1,501
151,9,1,501
153,9,1,501
155,9,1,501
156,9,1,501
157,9,1,501
158,9,1,501
166,9,1,501
169,9,1,501
183,9,1,501
185,9,1,501
190,9,1,501
197,9,1,501
199,9,1,501
201,9,1,501
202,9,1,501
203,9,1,501
208,9,1,501
211,9,1,501
213,9,1,501
217,9,1,501
220,9,1,501
224,9,1,501
230,9,1,501
234,9,1,501
235,9,1,501
248,9,1,501
249,9,1,501
5,10,1,501
8,10,1,501
14,10,1,501
17,10,1,501
19,10,1,501
25,10,1,501
27,10,1,501
29,10,1,501
32,10,1,501
47,10,1,501
60,10,1,501
74,10,1,501
83,10,1,501
93,10,1,501
117,10,1,501
127,10,1,501
134,10,1,501
138,10,1,501
143,10,1,501
161,10,1,501
173,10,1,501
180,10,1,501
185,10,1,501
199,10,1,501
200,10,1,501
204,10,1,501
207,10,1,501
208,10,1,501
213,10,1,501
215,10,1,501
218,10,1,501
219,10,1,501
223,10,1,501
227,10,1,501
230,10,1,501
239,10,1,501
248,10,1,501
10,11,1,501
14,11,1,501
16,11,1,501
17,11,1,501
19,11,1,501
20,11,1,501
24,11,1,501
25,11,1,501
27,11,1,501
29,11,1,501
32,11,1,501
33,11,1,501
34,11,1,501
41,11,1,501
44,11,1,501
46,11,1,501
48,11,1,501
50,11,1,501
51,11,1,501
55,11,1,501
59,11,1,501
60,11,1,501
65,11,1,501
66,11,1,501
67,11,1,501
68,11,1,501
70,11,1,501
73,11,1,501
74,11,1,501
75,11,1,501
77,11,1,501
81,11,1,501
86,11,1,501
93,11,1,501
94,11,1,501
95,11,1,501
100,11,1,501
103,11,1,501
104,11,1,501
107,11,1,501
108,11,1,501
111,11,1,501
112,11,1,501
117,11,1,501
125,11,1,501
135,11,1,501
140,11,1,501
145,11,1,501
146,11,1,501
147,11,1,501
148,11,1,501
149,11,1,501
156,11,1,501
157,11,1,501
164,11,1,501
168,11,1,501
169,11,1,501
170,11,1,501
173,11,1,501
174,11,1,501
179,11,1,501
180,11,1,501
182,11,1,501
183,11,1,501
185,11,1,501
188,11,1,501
196,11,1,501
197,11,1,501
205,11,1,501
207,11,1,501
211,11,1,501
212,11,1,501
214,11,1,501
224,11,1,501
225,11,1,501
227,11,1,501
228,11,1,501
232,11,1,501
239,11,1,501
240,11,1,501
241,11,1,501
242,11,1,501
243,11,1,501
1,12,1,501
7,12,1,501
10,12,1,501
16,12,1,501
21,12,1,501
26,12,1,501
34,12,1,501
36,12,1,501
41,12,1,501
43,12,1,501
46,12,1,501
49,12,1,501
52,12,1,501
58,12,1,501
65,12,1,501
66,12,1,501
77,12,1,501
87,12,1,501
95,12,1,501
98,12,1,501
112,12,1,501
113,12,1,501
114,12,1,501
117,12,1,501
121,12,1,501
122,12,1,501
126,12,1,501
128,12,1,501
129,12,1,501
131,12,1,501
139,12,1,501
143,12,1,501
145,12,1,501
154,12,1,501
155,12,1,501
157,12,1,501
162,12,1,501
168,12,1,501
171,12,1,501
173,12,1,501
179,12,1,501
183,12,1,501
193,12,1,501
197,12,1,501
201,12,1,501
204,12,1,501
207,12,1,501
210,12,1,501
212,12,1,501
223,12,1,501
224,12,1,501
225,12,1,501
232,12,1,501
233,12,1,501
234,12,1,501
238,12,1,501
247,12,1,501
248,12,1,501
2,13,1,501
13,13,1,501
22,13,1,501
32,13,1,501
37,13,1,501
43,13,1,501
48,13,1,501
58,13,1,501
59,13,1,501
65,13,1,501
72,13,1,501
73,13,1,501
74,13,1,501
86,13,1,501
90,13,1,501
100,13,1,501
113,13,1,501
121,13,1,501
122,13,1,501
133,13,1,501
146,13,1,501
147,13,1,501
151,13,1,501
159,13,1,501
162,13,1,501
165,13,1,501
173,13,1,501
183,13,1,501
197,13,1,501
207,13,1,501
211,13,1,501
224,13,1,501
225,13,1,501
226,13,1,501
234,13,1,501
238,13,1,501
243,13,1,501
27,4,1,1001
42,4,1,1001
46,4,1,1001
70,4,1,1001
75,4,1,1001
77,4,1,1001
87,4,1,1001
101,4,1,1001
105,4,1,1001
128,4,1,1001
142,4,1,1001
146,4,1,1001
155,4,1,1001
160,4,1,1001
177,4,1,1001
180,4,1,1001
184,4,1,1001
185,4,1,1001
191,4,1,1001
209,4,1,1001
216,4,1,1001
218,4,1,1001
226,4,1,1001
1,5,1,1001
3,5,1,1001
7,5,1,1001
9,5,1,1001
12,5,1,1001
18,5,1,1001
27,5,1,1001
36,5,1,1001
38,5,1,1001
42,5,1,1001
43,5,1,1001
46,5,1,1001
60,5,1,1001
61,5,1,1001
62,5,1,1001
65,5,1,1001
70,5,1,1001
75,5,1,1001
77,5,1,1001
87,5,1,1001
101,5,1,1001
105,5,1,1001
116,5,1,1001
128,5,1,1001
130,5,1,1001
131,5,1,1001
138,5,1,1001
139,5,1,1001
142,5,1,1001
146,5,1,1001
149,5,1,1001
151,5,1,1001
155,5,1,1001
160,5,1,1001
164,5,1,1001
166,5,1,1001
177,5,1,1001
180,5,1,1001
181,5,1,1001
184,5,1,1001
185,5,1,1001
191,5,1,1001
196,5,1,1001
209,5,1,1001
216,5,1,1001
218,5,1,1001
226,5,1,1001
230,5,1,1001
249,5,1,1001
3,6,1,1001
27,6,1,1001
43,6,1,1001
70,6,1,1001
135,6,1,1001
139,6,1,1001
149,6,1,1001
154,6,1,1001
180,6,1,1001
226,6,1,1001
230,6,1,1001
231,6,1,1001
1,7,1,1001
2,7,1,1001
5,7,1,1001
7,7,1,1001
9,7,1,1001
12,7,1,1001
15,7,1,1001
16,7,1,1001
18,7,1,1001
25,7,1,1001
27,7,1,1001
31,7,1,1001
34,7,1,1001
36,7,1,1001
38,7,1,1001
43,7,1,1001
45,7,1,1001
46,7,1,1001
48,7,1,1001
51,7,1,1001
53,7,1,1001
59,7,1,1001
60,7,1,1001
61,7,1,1001
62,7,1,1001
65,7,1,1001
66,7,1,1001
67,7,1,1001
70,7,1,1001
71,7,1,1001
75,7,1,1001
76,7,1,1001
77,7,1,1001
78,7,1,1001
83,7,1,1001
86,7,1,1001
87,7,1,1001
91,7,1,1001
96,7,1,1001
97,7,1,1001
100,7,1,1001
101,7,1,1001
102,7,1,1001
103,7,1,1001
105,7,1,1001
107,7,1,1001
108,7,1,1001
111,7,1,1001
116,7,1,1001
117,7,1,1001
118,7,1,1001
128,7,1,1001
130,7,1,1001
131,7,1,1001
135,7,1,1001
137,7,1,1001
139,7,1,1001
142,7,1,1001
143,7,1,1001
144,7,1,1001
145,7,1,1001
146,7,1,1001
149,7,1,1001
151,7,1,1001
153,7,1,1001
154,7,1,1001
155,7,1,1001
157,7,1,1001
160,7,1,1001
162,7,1,1001
164,7,1,1001
166,7,1,1001
173,7,1,1001
176,7,1,1001
177,7,1,1001
179,7,1,1001
180,7,1,1001
181,7,1,1001
183,7,1,1001
185,7,1,1001
191,7,1,1001
196,7,1,1001
200,7,1,1001
202,7,1,1001
203,7,1,1001
208,7,1,1001
209,7,1,1001
216,7,1,1001
217,7,1,1001
218,7,1,1001
220,7,1,1001
226,7,1,1001
230,7,1,1001
231,7,1,1001
234,7,1,1001
235,7,1,1001
246,7,1,1001
249,7,1,1001
1,8,1,1001
2,8,1,1001
3,8,1,1001
5,8,1,1001
7,8,1,1001
8,8,1,1001
10,8,1,1001
11,8,1,1001
12,8,1,1001
14,8,1,1001
15,8,1,1001
16,8,1,1001
17,8,1,1001
18,8,1,1001
24,8,1,1001
29,8,1,1001
31,8,1,1001
33,8,1,1001
36,8,1,1001
38,8,1,1001
42,8,1,1001
43,8,1,1001
45,8,1,1001
46,8,1,1001
48,8,1,1001
51,8,1,1001
53,8,1,1001
59,8,1,1001
60,8,1,1001
61,8,1,1001
63,8,1,1001
65,8,1,1001
66,8,1,1001
67,8,1,1001
70,8,1,1001
71,8,1,1001
74,8,1,1001
76,8,1,1001
77,8,1,1001
78,8,1,1001
83,8,1,1001
85,8,1,1001
86,8,1,1001
87,8,1,1001
88,8,1,1001
89,8,1,1001
91,8,1,1001
92,8,1,1001
93,8,1,1001
96,8,1,1001
97,8,1,1001
100,8,1,1001
101,8,1,1001
102,8,1,1001
103,8,1,1001
104,8,1,1001
105,8,1,1001
106,8,1,1001
107,8,1,1001
108,8,1,1001
111,8,1,1001
112,8,1,1001
114,8,1,1001
116,8,1,1001
117,8,1,1001
120,8,1,1001
121,8,1,1001
129,8,1,1001
130,8,1,1001
131,8,1,1001
135,8,1,1001
138,8,1,1001
139,8,1,1001
142,8,1,1001
143,8,1,1001
144,8,1,1001
146,8,1,1001
149,8,1,1001
150,8,1,1001
151,8,1,1001
153,8,1,1001
154,8,1,1001
155,8,1,1001
156,8,1,1001
157,8,1,1001
160,8,1,1001
162,8,1,1001
164,8,1,1001
166,8,1,1001
169,8,1,1001
173,8,1,1001
176,8,1,1001
177,8,1,1001
179,8,1,1001
180,8,1,1001
181,8,1,1001
183,8,1,1001
184,8,1,1001
185,8,1,1001
190,8,1,1001
191,8,1,1001
192,8,1,1001
196,8,1,1001
200,8,1,1001
203,8,1,1001
204,8,1,1001
206,8,1,1001
208,8,1,1001
209,8,1,1001
215,8,1,1001
216,8,1,1001
218,8,1,1001
219,8,1,1001
220,8,1,1001
221,8,1,1001
226,8,1,1001
230,8,1,1001
231,8,1,1001
234,8,1,1001
235,8,1,1001
245,8,1,1001
248,8,1,1001
249,8,1,1001
1,9,1,1001
2,9,1,1001
3,9,1,1001
5,9,1,1001
6,9,1,1001
8,9,1,1001
9,9,1,1001
11,9,1,1001
12,9,1,1001
14,9,1,1001
15,9,1,1001
16,9,1,1001
17,9,1,1001
18,9,1,1001
19,9,1,1001
24,9,1,1001
25,9,1,1001
26,9,1,1001
27,9,1,1001
29,9,1,1001
31,9,1,1001
34,9,1,1001
36,9,1,1001
37,9,1,1001
38,9,1,1001
39,9,1,1001
40,9,1,1001
41,9,1,1001
42,9,1,1001
43,9,1,1001
44,9,1,1001
45,9,1,1001
46,9,1,1001
47,9,1,1001
48,9,1,1001
51,9,1,1001
53,9,1,1001
60,9,1,1001
61,9,1,1001
62,9,1,1001
64,9,1,1001
65,9,1,1001
67,9,1,1001
71,9,1,1001
74,9,1,1001
75,9,1,1001
76,9,1,1001
77,9,1,1001
78,9,1,1001
80,9,1,1001
83,9,1,1001
85,9,1,1001
86,9,1,1001
87,9,1,1001
88,9,1,1001
89,9,1,1001
91,9,1,1001
92,9,1,1001
93,9,1,1001
96,9,1,1001
97,9,1,1001
100,9,1,1001
101,9,1,1001
102,9,1,1001
103,9,1,1001
104,9,1,1001
105,9,1,1001
106,9,1,1001
107,9,1,1001
108,9,1,1001
112,9,1,1001
114,9,1,1001
116,9,1,1001
117,9,1,1001
118,9,1,1001
120,9,1,1001
121,9,1,1001
123,9,1,1001
128,9,1,1001
129,9,1,1001
130,9,1,1001
131,9,1,1001
134,9,1,1001
135,9,1,1001
136,9,1,1001
137,9,1,1001
139,9,1,1001
140,9,1,1001
141,9,1,1001
142,9,1,1001
143,9,1,1001
146,9,1,1001
149,9,1,1001
151,9,1,1001
154,9,1,1001
155,9,1,1001
156,9,1,1001
157,9,1,1001
158,9,1,1001
160,9,1,1001
162,9,1,1001
164,9,1,1001
166,9,1,1001
169,9,1,1001
172,9,1,1001
173,9,1,1001
176,9,1,1001
177,9,1,1001
180,9,1,1001
181,9,1,1001
183,9,1,1001
184,9,1,1001
185,9,1,1001
186,9,1,1001
190,9,1,1001
191,9,1,1001
195,9,1,1001
196,9,1,1001
197,9,1,1001
199,9,1,1001
200,9,1,1001
201,9,1,1001
202,9,1,1001
203,9,1,1001
208,9,1,1001
209,9,1,1001
211,9,1,1001
213,9,1,1001
215,9,1,1001
216,9,1,1001
217,9,1,1001
218,9,1,1001
219,9,1,1001
221,9,1,1001
224,9,1,1001
225,9,1,1001
226,9,1,1001
227,9,1,1001
230,9,1,1001
234,9,1,1001
235,9,1,1001
239,9,1,1001
245,9,1,1001
246,9,1,1001
248,9,1,1001
249,9,1,1001
250,9,1,1001
2,10,1,1001
5,10,1,1001
6,10,1,1001
8,10,1,1001
9,10,1,1001
10,10,1,1001
11,10,1,1001
16,10,1,1001
20,10,1,1001
25,10,1,1001
26,10,1,1001
27,10,1,1001
30,10,1,1001
32,10,1,1001
37,10,1,1001
42,10,1,1001
44,10,1,1001
45,10,1,1001
47,10,1,1001
48,10,1,1001
50,10,1,1001
55,10,1,1001
59,10,1,1001
62,10,1,1001
63,10,1,1001
69,10,1,1001
74,10,1,1001
77,10,1,1001
85,10,1,1001
87,10,1,1001
88,10,1,1001
89,10,1,1001
95,10,1,1001
96,10,1,1001
101,10,1,1001
103,10,1,1001
105,10,1,1001
108,10,1,1001
109,10,1,1001
114,10,1,1001
118,10,1,1001
121,10,1,1001
125,10,1,1001
127,10,1,1001
130,10,1,1001
131,10,1,1001
135,10,1,1001
137,10,1,1001
142,10,1,1001
144,10,1,1001
149,10,1,1001
150,10,1,1001
154,10,1,1001
155,10,1,1001
157,10,1,1001
160,10,1,1001
161,10,1,1001
165,10,1,1001
167,10,1,1001
173,10,1,1001
179,10,1,1001
180,10,1,1001
182,10,1,1001
184,10,1,1001
185,10,1,1001
192,10,1,1001
193,10,1,1001
195,10,1,1001
196,10,1,1001
199,10,1,1001
201,10,1,1001
206,10,1,1001
208,10,1,1001
211,10,1,1001
213,10,1,1001
215,10,1,1001
218,10,1,1001
220,10,1,1001
224,10,1,1001
226,10,1,1001
227,10,1,1001
234,10,1,1001
235,10,1,1001
239,10,1,1001
246,10,1,1001
250,10,1,1001
1,11,1,1001
5,11,1,1001
7,11,1,1001
8,11,1,1001
14,11,1,1001
17,11,1,1001
19,11,1,1001
20,11,1,1001
23,11,1,1001
24,11,1,1001
25,11,1,1001
26,11,1,1001
28,11,1,1001
32,11,1,1001
34,11,1,1001
36,11,1,1001
37,11,1,1001
44,11,1,1001
45,11,1,1001
49,11,1,1001
51,11,1,1001
54,11,1,1001
55,11,1,1001
56,11,1,1001
59,11,1,1001
60,11,1,1001
62,11,1,1001
66,11,1,1001
68,11,1,1001
70,11,1,1001
72,11,1,1001
74,11,1,1001
76,11,1,1001
81,11,1,1001
87,11,1,1001
92,11,1,1001
93,11,1,1001
94,11,1,1001
95,11,1,1001
96,11,1,1001
100,11,1,1001
101,11,1,1001
103,11,1,1001
104,11,1,1001
105,11,1,1001
107,11,1,1001
108,11,1,1001
113,11,1,1001
117,11,1,1001
118,11,1,1001
119,11,1,1001
120,11,1,1001
121,11,1,1001
122,11,1,1001
125,11,1,1001
127,11,1,1001
128,11,1,1001
129,11,1,1001
130,11,1,1001
131,11,1,1001
134,11,1,1001
137,11,1,1001
139,11,1,1001
140,11,1,1001
142,11,1,1001
143,11,1,1001
145,11,1,1001
146,11,1,1001
147,11,1,1001
148,11,1,1001
149,11,1,1001
151,11,1,1001
152,11,1,1001
153,11,1,1001
154,11,1,1001
155,11,1,1001
156,11,1,1001
157,11,1,1001
161,11,1,1001
162,11,1,1001
168,11,1,1001
169,11,1,1001
170,11,1,1001
173,11,1,1001
179,11,1,1001
180,11,1,1001
182,11,1,1001
183,11,1,1001
186,11,1,1001
188,11,1,1001
193,11,1,1001
196,11,1,1001
197,11,1,1001
202,11,1,1001
204,11,1,1001
205,11,1,1001
206,11,1,1001
210,11,1,1001
212,11,1,1001
219,11,1,1001
223,11,1,1001
224,11,1,1001
225,11,1,1001
226,11,1,1001
227,11,1,1001
228,11,1,1001
232,11,1,1001
234,11,1,1001
235,11,1,1001
236,11,1,1001
239,11,1,1001
241,11,1,1001
242,11,1,1001
243,11,1,1001
245,11,1,1001
2,12,1,1001
4,12,1,1001
7,12,1,1001
13,12,1,1001
17,12,1,1001
21,12,1,1001
23,12,1,1001
27,12,1,1001
32,12,1,1001
34,12,1,1001
36,12,1,1001
41,12,1,1001
43,12,1,1001
46,12,1,1001
48,12,1,1001
52,12,1,1001
54,12,1,1001
56,12,1,1001
57,12,1,1001
58,12,1,1001
59,12,1,1001
62,12,1,1001
65,12,1,1001
66,12,1,1001
68,12,1,1001
75,12,1,1001
77,12,1,1001
82,12,1,1001
86,12,1,1001
90,12,1,1001
95,12,1,1001
98,12,1,1001
99,12,1,1001
101,12,1,1001
103,12,1,1001
105,12,1,1001
107,12,1,1001
110,12,1,1001
111,12,1,1001
112,12,1,1001
113,12,1,1001
114,12,1,1001
115,12,1,1001
117,12,1,1001
122,12,1,1001
128,12,1,1001
129,12,1,1001
134,12,1,1001
135,12,1,1001
139,12,1,1001
143,12,1,1001
144,12,1,1001
145,12,1,1001
149,12,1,1001
151,12,1,1001
155,12,1,1001
157,12,1,1001
159,12,1,1001
162,12,1,1001
163,12,1,1001
173,12,1,1001
179,12,1,1001
180,12,1,1001
183,12,1,1001
184,12,1,1001
186,12,1,1001
193,12,1,1001
194,12,1,1001
197,12,1,1001
202,12,1,1001
204,12,1,1001
206,12,1,1001
207,12,1,1001
211,12,1,1001
214,12,1,1001
224,12,1,1001
225,12,1,1001
226,12,1,1001
227,12,1,1001
232,12,1,1001
233,12,1,1001
234,12,1,1001
235,12,1,1001
238,12,1,1001
241,12,1,1001
243,12,1,1001
244,12,1,1001
247,12,1,1001
248,12,1,1001
27,4,1,1501
42,4,1,1501
46,4,1,1501
70,4,1,1501
75,4,1,1501
77,4,1,1501
87,4,1,1501
